X,Y,Team,Result,Game
37.1926620509186,80.7321594068582,Warren,Miss,1
33.7989968925475,74.6235621217903,Warren,Miss,1
49.902687673772,74.3090007087172,Warren,Miss,1
40.8594559232405,59.7661233167966,Warren,Miss,1
56.7393556124952,49.6993403478166,Warren,Miss,1
21.2786894183067,31.7014664994821,Warren,Miss,1
9.858801722728,32.5914517799706,Warren,Miss,1
13.6275418415744,38.8450635119664,Warren,Miss,1
27.1362372567192,45.6667393556125,Warren,Miss,1
22.5625579240037,74.4943575205801,Warren,Miss,1
26.2162677860764,50.0348906939977,Warren,Goal,1
8.57247996510929,39.143542495775,Warren,Goal,1
4.10210979665265,45.5547075178542,Warren,Goal,1
184.893419833179,66.8344872703484,NE,Miss,1
156.172109251486,48.2445619582402,NE,Miss,1
80.3243744207599,46.8993621545004,Warren,Miss,1
52.0055269905802,70.4542495383103,NE,Miss,1
40.4602946842574,63.3292810926435,NE,Miss,1
24.3433377177249,51.2300211247957,NE,Miss,1
29.2226340893087,51.1868415108879,NE,Miss,1
19.7613163803526,59.3826643814687,NE,Miss,1
14.5970345569772,38.3369205627965,NE,Miss,1
161.94115615077,80.6908073923499,Warren,Miss,1
178.184330450264,74.3523722215579,Warren,Miss,1
189.807618212497,73.3645555156975,Warren,Miss,1
174.271925279339,48.7232784620086,Warren,Miss,1
182.345848778349,35.0825062776516,Warren,Miss,1
187.925983498744,31.345808920244,Warren,Miss,1
186.915912684178,26.0450130867445,Warren,Miss,1
163.992519962268,38.0472849987378,Warren,Goal,1
170.762086970385,52.8841324883415,Warren,Goal,1
195.733854145907,39.6837923658443,Warren,Goal,1
44.0461294627961,78.2580100461136,NE,Miss,2
21.3672005338672,75.267727005656,NE,Miss,2
24.756006006006,72.9389184123041,NE,Miss,2
49.390015015015,64.8162942611023,NE,Miss,2
60.8598181514848,55.605694772725,NE,Miss,2
39.74495328662,46.956939123533,NE,Miss,2
63.3362529195863,12.4763324988746,NE,Miss,2
160.568902235569,71.9949297756162,EHS,Miss,2
144.537245578912,53.3387572418259,EHS,Miss,2
182.856815148482,31.759859408565,EHS,Miss,2
175.427510844178,46.8211412401349,EHS,Miss,2
171.517350684017,51.5747495604971,EHS,Miss,2
174.25446279613,55.104812127427,EHS,Miss,2
185.854604604605,53.569636390317,EHS,Goal,2
165.00041708375,21.7924767408479,EHS,Goal,2
13.5816647438608,70.4512639322513,EHS,Miss,2
40.9148948017745,62.0394479001989,EHS,Miss,2
51.9428467648754,50.7540429678708,EHS,Miss,2
67.6716141035973,41.3829847567246,EHS,Miss,2
15.2468337698265,35.0261951040389,EHS,Miss,2
14.3620690568306,41.154725115258,EHS,Miss,2
27.118633813313,66.3991380915938,EHS,Goal,2
174.932037932973,68.4748526559878,NE,Miss,2
179.223916851224,66.4108613964425,NE,Miss,2
176.859487171339,62.3408057954282,NE,Miss,2
174.962150735624,46.2247096592529,NE,Miss,2
183.003418386967,37.4046467759974,NE,Miss,2
187.418736809213,33.809040218273,NE,Miss,2
176.828454893798,26.5164549961911,NE,Miss,2
170.607287787402,34.306246265093,NE,Miss,2
158.002206519062,71.6263528417953,NE,Miss,2
159.434288660388,42.3263659939641,NE,Miss,2
162.637969046209,30.1637820164834,NE,Miss,2
3.96373985512471,65.4415046505099,FLB,Goal,3
7.44515671769949,58.8067565733986,FLB,Goal,3
14.9492287345186,50.2220395749043,FLB,Goal,3
194.284552945596,50.7113061693619,NE,Goal,3
42.0065643138351,51.9606874543198,FLB,Miss,3
51.8244071325207,37.35664053777,FLB,Miss,3
32.706148965189,37.0164205287087,FLB,Miss,3
26.9279036161385,24.5049785131145,FLB,Miss,3
17.8697175875374,34.5215501123285,FLB,Miss,3
16.6855871118543,60.4043711246972,FLB,Miss,3
174.755558105145,74.7229171318935,NE,Miss,3
175.064640885921,27.7530951137557,NE,Miss,3
159.795493615183,44.7196792264721,NE,Miss,3
169.860144758073,85.0304844454526,NE,Miss,3
144.274959016081,92.5581383336938,NE,Miss,3
175.900680434523,49.7731884923003,FLB,Goal,3
177.601368827345,27.3260116986988,FLB,Goal,3
46.7593366316059,79.0059753558022,NE,Miss,3
49.2457522581672,75.4346888968472,NE,Miss,3
34.3874983972871,75.5134428925762,NE,Miss,3
65.8365940250863,78.0460055973366,NE,Miss,3
53.4183323827588,64.2474765561789,NE,Miss,3
67.2768249925944,50.5550581618983,NE,Miss,3
53.3663823785586,52.7145756237316,NE,Miss,3
67.0557611449339,36.2011062034937,NE,Miss,3
60.0016137660879,32.6803880996909,NE,Miss,3
14.2635036851343,17.7088390168848,NE,Miss,3
26.795613209007,22.0593755388431,NE,Miss,3
18.5526949893668,32.4093085564973,NE,Miss,3
26.7569270356664,48.1932672794556,NE,Miss,3
16.1806799039699,61.3775151539267,NE,Miss,3
144.17554238015,73.4592070881912,FLB,Miss,3
158.945370701966,53.7499834202114,FLB,Miss,3
175.522395978407,18.5718170121894,FLB,Miss,3
170.032275321758,49.7650312363217,FLB,Miss,3
172.776782990463,68.7679559110262,FLB,Miss,3
176.499498185066,61.877395779449,FLB,Miss,3
177.126214193183,27.397238470415,FLB,Goal,3
1.305639632339,39.49808146,COH,Goal,4
36.9536958329987,79.292483932728,COH,Miss,4
37.6456006877967,59.2842505867721,COH,Miss,4
164.959312132743,82.1874506241984,NE,Miss,4
161.939986462387,77.4064110644165,NE,Miss,4
153.482426554553,80.6151485621325,NE,Miss,4
164.095465473497,64.0246033826672,NE,Miss,4
164.03110223119,49.7359635905597,NE,Miss,4
155.954434796578,50.6972745881561,NE,Miss,4
